location,density,population,area_km2
World,55.0,8231613070,148940000.0
Macau (China),22000.0,720262,33.0
Monaco,19000.0,38631,2.0
Singapore,8290.0,6110200,737.0
Hong Kong (China),7062.0,7414910,1050.0
Gibraltar (UK),5800.0,39329,6.8
Bahrain,2034.0,1607049,790.0
Vatican City,1800.0,882,0.5
Maldives,1759.0,527799,300.0
Malta,1686.0,539607,320.0
Bangladesh,1333.0,173562364,130170.0
Sint Maarten (NL),1275.0,43351,34.0
Bermuda (UK),1197.0,64637,54.0
Palestine,892.0,5371230,6020.0
Jersey (UK),891.0,103387,116.0
Guernsey (UK),867.0,67642,78.0
Barbados,657.0,282468,430.0
Taiwan,656.0,23213962,35410.0
Mauritius,637.0,1271169,1997.0
Aruba (NL),600.0,108066,180.0
Nauru,597.0,11947,20.0
Rwanda,578.0,14256567,24670.0
Lebanon,568.0,5805962,10230.0
Saint Barthélemy (France),563.0,11258,20.0
San Marino,560.0,33581,60.0
Burundi,547.0,14047786,25680.0
Netherlands,541.0,18080943,33670.0
South Korea,530.0,51717590,97600.0
Saint Martin (France),523.0,26129,50.0
India,488.0,1450935791,3287263.0
Israel,468.0,10148000,21640.0
Comoros,466.0,866628,1861.0
Haiti,427.0,11772557,27560.0
Curaçao (NL),418.0,185482,444.0
Philippines,389.0,115843670,298170.0
Belgium,385.0,11738764,30494.0
Sri Lanka,373.0,23103565,61860.0
Puerto Rico (US),366.0,3242204,8870.0
Grenada,345.0,117208,340.0
Japan,340.0,123753041,364500.0
Vietnam,322.0,100987687,313429.0
Tuvalu,322.0,9646,30.0
Guam (US),311.0,167777,540.0
Cayman Islands (UK),310.0,74458,240.0
El Salvador,306.0,6338193,20720.0
Saint Lucia,295.0,179744,610.0
Trinidad and Tobago,294.0,1507782,5130.0
Pakistan,289.0,255300000,882363.0
United Kingdom,285.0,69281437,242741.0
Seychelles,284.0,130419,460.0
Kuwait,277.0,4934508,17820.0
Gambia,273.0,2759988,10120.0
Qatar,265.0,3048423,11490.0
British Virgin Islands (UK),263.0,39471,150.0
Jamaica,262.0,2839175,10830.0
Luxembourg,261.0,673036,2575.0
Saint Vincent and the Grenadines,258.0,100616,390.0
Nigeria,255.0,232679478,910770.0
Tokelau (New Zealand),251.0,2507,10.0
Uganda,249.0,50015093,200520.0
Liechtenstein,249.0,39870,160.0
São Tomé and Príncipe,245.0,235537,960.0
U.S. Virgin Islands (US),243.0,84905,350.0
Germany,242.0,84552242,349360.0
Dominican Republic,237.0,11427557,48198.0
American Samoa (US),234.0,46765,200.0
Malawi,230.0,21655286,94280.0
Switzerland,226.0,8921981,39510.0
North Korea,220.0,26498823,120410.0
Antigua and Barbuda,213.0,93772,440.0
Marshall Islands,209.0,37548,180.0
Nepal,207.0,29651055,143350.0
Italy,201.0,59342867,295720.0
Saint Kitts and Nevis,180.0,46843,260.0
Togo,175.0,9515236,54390.0
Andorra,174.0,81938,470.0
Guatemala,172.0,18406359,107160.0
Kiribati,166.0,134518,810.0
Anguilla (UK),162.0,14599,90.0
Micronesia,162.0,113161,700.0
United Arab Emirates,155.0,11027129,71020.0
Kosovo,154.0,1674125,10887.0
Ghana,151.0,34427414,227533.0
China,151.0,1419321278,9388210.0
Indonesia,150.0,283487931,1892555.0
Denmark[i],149.0,5977413,40000.0
Isle of Man,148.0,84161,570.0
Cyprus,147.0,1358282,9240.0
Tonga,145.0,104176,720.0
Thailand,140.0,71668011,510890.0
Czech Republic,139.0,10735860,77171.0
Syria,133.0,24672760,185178.0
Cape Verde,130.0,524877,4030.0
Jordan,130.0,11552876,88794.0
Benin,128.0,14462724,112760.0
Poland,126.0,38539201,306090.0
Azerbaijan,125.0,10336578,82650.0
France,122.0,66548531,547557.0
Sierra Leone,120.0,8642023,72180.0
Egypt,117.0,116538258,995450.0
Ethiopia,117.0,132059768,1128571.0
Slovakia,115.0,5506760,48080.0
Northern Cyprus,114.0,382836,3355.0
Portugal,114.0,10425293,91606.0
Turkey,114.0,87473805,769630.0
Austria,111.0,9120813,82520.0
Malaysia,108.0,35557674,328550.0
Iraq,106.0,46042015,434128.0
Hungary,106.0,9676135,91260.0
Slovenia,105.0,2118697,20136.0
Armenia,104.0,2973841,28470.0
Albania,102.0,2791765,27400.0
Costa Rica,100.0,5129910,51060.0
Ivory Coast,100.0,31934230,318000.0
Cambodia,100.0,17638801,176520.0
Kenya,99.0,56432945,569140.0
Honduras,97.0,10825704,111890.0
Northern Mariana Islands (US),96.0,44278,460.0
Senegal,96.0,18501985,192530.0
Spain,96.0,49315949,499714.0
Timor-Leste,94.0,1400638,14870.0
Moldova,92.0,3034961,32890.0
Cuba,89.0,9748532,109820.0
Dominica,88.0,66205,750.0
Transnistria,88.0,367000,4163.0
Brunei,88.0,462722,5270.0
Burkina Faso,86.0,23548781,273600.0
Serbia,85.0,6567783,88499.0
Myanmar,84.0,54500091,652670.0
Romania,83.0,19015088,230080.0
Uzbekistan,83.0,36361859,440652.0
French Polynesia (France),81.0,281807,3471.0
Wallis and Futuna (France),81.0,11278,140.0
Tunisia,79.0,12277109,155360.0
Samoa,78.0,218020,2780.0
Guinea-Bissau,78.0,2201352,28120.0
Greece,78.0,10047817,128900.0
Tanzania,77.0,68560157,885800.0
Lesotho,77.0,2337423,30360.0
Yemen,77.0,40583165,527970.0
Tajikistan,76.0,10590928,138790.0
Ireland,76.0,5255018,68890.0
Ecuador,73.0,18135478,248360.0
North Macedonia,72.0,1823009,25220.0
Eswatini,72.0,1242822,17200.0
Akrotiri and Dhekelia (UK),72.0,18195,254.0
Croatia,69.0,3875325,55960.0
Equatorial Guinea,67.0,1892517,28050.0
Mexico,67.0,130861007,1943950.0
Afghanistan,65.0,42647492,652230.0
Ukraine,65.0,37860222,579400.0
Bulgaria,62.0,6757689,108560.0
Bosnia and Herzegovina,62.0,3164253,51200.0
Cameroon,62.0,29123744,472710.0
Panama,61.0,4515577,74180.0
Norfolk Island (Australia),61.0,2188,36.0
Guinea,60.0,14754786,245720.0
Liberia,58.0,5612817,96320.0
Nicaragua,57.0,6916140,120340.0
Cook Islands,57.0,13729,240.0
Iran,56.0,91567738,1622500.0
Madagascar,55.0,31964956,581800.0
Georgia,55.0,3807670,69490.0
South Africa,53.0,64007187,1213090.0
Morocco,53.0,38081173,710850.0
Fiji,51.0,928784,18270.0
Djibouti,50.0,1168722,23180.0
Turks and Caicos Islands (UK),49.0,46535,950.0
DR Congo,48.0,109276265,2267050.0
Colombia,48.0,52886364,1109500.0
Montenegro,47.0,638479,13450.0
Lithuania,46.0,2859110,62604.0
Belarus,45.0,9056696,202990.0
Mozambique,44.0,34631766,786380.0
Montserrat (UK),44.0,4389,100.0
Cocos (Keeling) Islands (Australia),43.0,602,14.0
Zimbabwe,43.0,16634373,386850.0
Faroe Islands (Denmark),40.0,55400,1370.0
Bahamas,40.0,401283,10010.0
Palau,38.0,17696,460.0
United States,37.0,341730701,9147590.0
Kyrgyzstan,37.0,7186009,191800.0
Somaliland,35.0,4914100,167283.0
Laos,34.0,7769819,230800.0
Venezuela,32.0,28405543,882050.0
Estonia,32.0,1360546,42730.0
Angola,30.0,37885850,1246700.0
Somalia,30.0,19009151,627340.0
Latvia,30.0,1871872,62230.0
Solomon Islands,29.0,819198,27990.0
Eritrea,29.0,3535603,121041.0
Zambia,29.0,21314956,743390.0
Abkhazia,28.0,244000,8665.0
Sudan,27.0,50448963,1868000.0
Vanuatu,27.0,327778,12190.0
Peru,27.0,34217848,1280000.0
Chile,27.0,19764772,743532.0
Sweden,26.0,10606999,407280.0
Brazil,25.0,211998574,8358140.0
Saint Pierre and Miquelon (France),24.0,5628,230.0
Papua New Guinea,23.0,10576502,452860.0
Niger,21.0,27032413,1266700.0
Bhutan,21.0,791525,38140.0
Mali,20.0,24478596,1220190.0
New Zealand,20.0,5213944,263310.0
Åland (Finland),20.0,30237,1583.0
Algeria,20.0,47400000,2381741.0
Uruguay,19.0,3386588,175020.0
South Sudan,19.0,11943409,631930.0
Congo,19.0,6332961,341500.0
Finland,18.0,5617311,303948.0
Belize,18.0,417072,22810.0
Paraguay,17.0,6929153,396012.0
Oman,17.0,5281538,309500.0
Argentina,17.0,45696159,2736690.0
Chad,16.0,20299123,1259200.0
New Caledonia (France),16.0,292640,18280.0
Turkmenistan,16.0,7494499,469930.0
Saudi Arabia,16.0,33962757,2149690.0
Norway,15.0,5576660,364270.0
South Ossetia,14.0,56520,3900.0
"Saint Helena, Ascension and Tristan da Cunha (UK)",13.0,5238,390.0
Christmas Island (Australia),13.0,1692,136.0
Bolivia,11.0,12413315,1083300.0
Gabon,9.9,2538952,257670.0
Russia,8.8,144820423,16376870.0
Central African Republic,8.6,5330690,622980.0
Kazakhstan,7.6,20592571,2699700.0
Niue,7.0,1819,260.0
Mauritania,5.0,5169396,1030700.0
Canada,4.5,39742430,8788700.0
Botswana,4.4,2521139,566730.0
Guyana,4.2,831087,196850.0
Libya,4.2,7381023,1759540.0
Suriname,4.0,634431,160508.0
Iceland,3.9,393396,100830.0
Namibia,3.7,3030131,823290.0
Australia,3.5,26713205,7692020.0
Mongolia,2.2,3475540,1557507.0
Western Sahara,2.2,590506,266000.0
Pitcairn Islands (UK),0.85,40,47.0
Falkland Islands (UK),0.29,3471,12170.0
Greenland (Denmark),0.026,55840,2166086.0
