Country,Region,Subregion,population,area_km2,density
Afghanistan,Asia,Southern Asia,42647492,652230.0,65.0
Albania,Europe,Southern Europe,2791765,27400.0,102.0
Algeria,Africa,Northern Africa,47400000,2381741.0,20.0
American Samoa,Oceania,Polynesia,46765,200.0,234.0
Andorra,Europe,Southern Europe,81938,470.0,174.0
Angola,Africa,Sub-Saharan Africa,37885850,1246700.0,30.0
Anguilla,Americas,Latin America and the Caribbean,14599,90.0,162.0
Antigua and Barbuda,Americas,Latin America and the Caribbean,93772,440.0,213.0
Argentina,Americas,Latin America and the Caribbean,45696159,2736690.0,17.0
Armenia,Asia,Western Asia,2973841,28470.0,104.0
Aruba,Americas,Latin America and the Caribbean,108066,180.0,600.0
Australia,Oceania,Australia and New Zealand,26713205,7692020.0,3.5
Austria,Europe,Western Europe,9120813,82520.0,111.0
Azerbaijan,Asia,Western Asia,10336578,82650.0,125.0
Bahamas,Americas,Latin America and the Caribbean,401283,10010.0,40.0
Bahrain,Asia,Western Asia,1607049,790.0,2034.0
Bangladesh,Asia,Southern Asia,173562364,130170.0,1333.0
Barbados,Americas,Latin America and the Caribbean,282468,430.0,657.0
Belarus,Europe,Eastern Europe,9056696,202990.0,45.0
Belgium,Europe,Western Europe,11738764,30494.0,385.0
Belize,Americas,Latin America and the Caribbean,417072,22810.0,18.0
Benin,Africa,Sub-Saharan Africa,14462724,112760.0,128.0
Bermuda,Americas,Northern America,64637,54.0,1197.0
Bhutan,Asia,Southern Asia,791525,38140.0,21.0
Bolivia,Americas,Latin America and the Caribbean,12413315,1083300.0,11.0
Bosnia and Herzegovina,Europe,Southern Europe,3164253,51200.0,62.0
Botswana,Africa,Sub-Saharan Africa,2521139,566730.0,4.4
Brazil,Americas,Latin America and the Caribbean,211998574,8358140.0,25.0
British Virgin Islands,Americas,Latin America and the Caribbean,39471,150.0,263.0
Brunei Darussalam,Asia,South-eastern Asia,462722,5270.0,88.0
Bulgaria,Europe,Eastern Europe,6757689,108560.0,62.0
Burkina Faso,Africa,Sub-Saharan Africa,23548781,273600.0,86.0
Burundi,Africa,Sub-Saharan Africa,14047786,25680.0,547.0
Cabo Verde,Africa,Sub-Saharan Africa,524877,4030.0,130.0
Cambodia,Asia,South-eastern Asia,17638801,176520.0,100.0
Cameroon,Africa,Sub-Saharan Africa,29123744,472710.0,62.0
Canada,Americas,Northern America,39742430,8788700.0,4.5
Cayman Islands,Americas,Latin America and the Caribbean,74458,240.0,310.0
Central African Republic,Africa,Sub-Saharan Africa,5330690,622980.0,8.6
Chad,Africa,Sub-Saharan Africa,20299123,1259200.0,16.0
Chile,Americas,Latin America and the Caribbean,19764772,743532.0,27.0
China,Asia,Eastern Asia,1419321278,9388210.0,151.0
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,7414910,1050.0,7062.0
"China, Macao Special Administrative Region",Asia,Eastern Asia,720262,33.0,22000.0
Christmas Island,Oceania,Australia and New Zealand,1692,136.0,13.0
Cocos (Keeling) Islands,Oceania,Australia and New Zealand,602,14.0,43.0
Colombia,Americas,Latin America and the Caribbean,52886364,1109500.0,48.0
Comoros,Africa,Sub-Saharan Africa,866628,1861.0,466.0
Cook Islands,Oceania,Polynesia,13729,240.0,57.0
Costa Rica,Americas,Latin America and the Caribbean,5129910,51060.0,100.0
Croatia,Europe,Southern Europe,3875325,55960.0,69.0
Cuba,Americas,Latin America and the Caribbean,9748532,109820.0,89.0
Curaçao,Americas,Latin America and the Caribbean,185482,444.0,418.0
Cyprus,Asia,Western Asia,1358282,9240.0,147.0
Czechia,Europe,Eastern Europe,10735860,77171.0,139.0
Côte d'Ivoire,Africa,Sub-Saharan Africa,31934230,318000.0,100.0
Democratic Republic of the Congo,Africa,Sub-Saharan Africa,109276265,2267050.0,48.0
Denmark,Europe,Northern Europe,5977413,40000.0,149.0
Djibouti,Africa,Sub-Saharan Africa,1168722,23180.0,50.0
Dominica,Americas,Latin America and the Caribbean,66205,750.0,88.0
Dominican Republic,Americas,Latin America and the Caribbean,11427557,48198.0,237.0
Ecuador,Americas,Latin America and the Caribbean,18135478,248360.0,73.0
Egypt,Africa,Northern Africa,116538258,995450.0,117.0
El Salvador,Americas,Latin America and the Caribbean,6338193,20720.0,306.0
Equatorial Guinea,Africa,Sub-Saharan Africa,1892517,28050.0,67.0
Eritrea,Africa,Sub-Saharan Africa,3535603,121041.0,29.0
Estonia,Europe,Northern Europe,1360546,42730.0,32.0
Eswatini,Africa,Sub-Saharan Africa,1242822,17200.0,72.0
Ethiopia,Africa,Sub-Saharan Africa,132059768,1128571.0,117.0
Falkland Islands,Americas,Latin America and the Caribbean,3471,12170.0,0.29
Faroe Islands,Europe,Northern Europe,55400,1370.0,40.0
Fiji,Oceania,Melanesia,928784,18270.0,51.0
Finland,Europe,Northern Europe,5617311,303948.0,18.0
France,Europe,Western Europe,66548531,547557.0,122.0
French Polynesia,Oceania,Polynesia,281807,3471.0,81.0
Gabon,Africa,Sub-Saharan Africa,2538952,257670.0,9.9
Gambia,Africa,Sub-Saharan Africa,2759988,10120.0,273.0
Georgia,Asia,Western Asia,3807670,69490.0,55.0
Germany,Europe,Western Europe,84552242,349360.0,242.0
Ghana,Africa,Sub-Saharan Africa,34427414,227533.0,151.0
Gibraltar,Europe,Southern Europe,39329,6.8,5800.0
Greece,Europe,Southern Europe,10047817,128900.0,78.0
Greenland,Americas,Northern America,55840,2166086.0,0.026
Grenada,Americas,Latin America and the Caribbean,117208,340.0,345.0
Guam,Oceania,Micronesia,167777,540.0,311.0
Guatemala,Americas,Latin America and the Caribbean,18406359,107160.0,172.0
Guinea,Africa,Sub-Saharan Africa,14754786,245720.0,60.0
Guinea-Bissau,Africa,Sub-Saharan Africa,2201352,28120.0,78.0
Guyana,Americas,Latin America and the Caribbean,831087,196850.0,4.2
Haiti,Americas,Latin America and the Caribbean,11772557,27560.0,427.0
Holy See,Europe,Southern Europe,882,0.5,1800.0
Honduras,Americas,Latin America and the Caribbean,10825704,111890.0,97.0
Hungary,Europe,Eastern Europe,9676135,91260.0,106.0
